CSV_name,Participant,Session,Spine3_LeftShoulder_LeftArm_Angle_RMS,Spine3_LeftShoulder_LeftArm_Angle_STD,Spine3_LeftShoulder_LeftArm_Angle_CV,Spine3_LeftShoulder_LeftArm_Angle_ZeroCross,Spine3_RightShoulder_RightArm_Angle_RMS,Spine3_RightShoulder_RightArm_Angle_STD,Spine3_RightShoulder_RightArm_Angle_CV,Spine3_RightShoulder_RightArm_Angle_ZeroCross,LeftShoulder_LeftArm_LeftForeArm_Angle_RMS,LeftShoulder_LeftArm_LeftForeArm_Angle_STD,LeftShoulder_LeftArm_LeftForeArm_Angle_CV,LeftShoulder_LeftArm_LeftForeArm_Angle_ZeroCross,RightShoulder_RightArm_RightForeArm_Angle_RMS,RightShoulder_RightArm_RightForeArm_Angle_STD,RightShoulder_RightArm_RightForeArm_Angle_CV,RightShoulder_RightArm_RightForeArm_Angle_ZeroCross,Hips_LeftUpLeg_LeftLeg_Angle_RMS,Hips_LeftUpLeg_LeftLeg_Angle_STD,Hips_LeftUpLeg_LeftLeg_Angle_CV,Hips_LeftUpLeg_LeftLeg_Angle_ZeroCross,Hips_RightUpLeg_RightLeg_Angle_RMS,Hips_RightUpLeg_RightLeg_Angle_STD,Hips_RightUpLeg_RightLeg_Angle_CV,Hips_RightUpLeg_RightLeg_Angle_ZeroCross,LeftUpLeg_LeftLeg_LeftFoot_Angle_RMS,LeftUpLeg_LeftLeg_LeftFoot_Angle_STD,LeftUpLeg_LeftLeg_LeftFoot_Angle_CV,LeftUpLeg_LeftLeg_LeftFoot_Angle_ZeroCross,RightUpLeg_RightLeg_RightFoot_Angle_RMS,RightUpLeg_RightLeg_RightFoot_Angle_STD,RightUpLeg_RightLeg_RightFoot_Angle_CV,RightUpLeg_RightLeg_RightFoot_Angle_ZeroCross,Hips_Spine1_Spine3_Angle_RMS,Hips_Spine1_Spine3_Angle_STD,Hips_Spine1_Spine3_Angle_CV,Hips_Spine1_Spine3_Angle_ZeroCross,Spine1_Spine3_Head_Angle_RMS,Spine1_Spine3_Head_Angle_STD,Spine1_Spine3_Head_Angle_CV,Spine1_Spine3_Head_Angle_ZeroCross,MeanActiveJoints,,
101_1st_session_101_FREESTYLE_MyTake_004_MyTake_004_resampled_120Hz_preprocessed_angles,101,First,26.6616978947323,26.6601151537566,0.10307283503977,109,27.9284546489088,27.9277568194718,0.10416429139236,108,116.016240235661,116.01008186328,0.321785324246074,122,109.935490536115,109.919024182152,0.337294935226163,143,28.7389032779921,28.7384830128746,0.104735170286002,110,28.7645552252713,28.7644115434999,0.109958837538876,95,86.8910910858585,86.8910275490443,0.665743200877413,102,80.3933299481652,80.3932698987392,0.648024791680459,135,23.4823419080778,23.4801352305199,0.918177508253312,119,15.415264363558,15.4151064946188,0.638416611241966,164,7.00252053920396,,
101_Last_Session_101_freestyle_MyTake_012_MyTake_012_resampled_120Hz_preprocessed_angles,101,Last,51.0196306481265,51.0191007386584,0.154887194512696,122,62.1442110308482,62.143774077901,0.180876812908835,104,97.7847740236491,97.7845939535832,0.26337919722257,124,79.0592535505951,79.0592310149899,0.21141192985499,125,30.683025203058,30.6830119671394,0.0927307469231711,120,32.5128276502862,32.5127858793647,0.0940398748854351,111,101.118246073336,101.115531395966,0.545162237030641,95,95.8138428726914,95.8084758472891,0.604783162890699,107,23.5979659128205,23.5978036750308,0.726645886466472,144,17.1030950982034,17.1024377912787,0.550379934691558,167,7.64261909429524,,
508_1st_session_508_freestyle_MyTake_005_MyTake_005_resampled_120Hz_preprocessed_angles,508,First,25.436440824973,25.4364374715952,0.0886690266538639,98,30.5714323034025,30.5710025663138,0.119700102806585,77,43.712360825476,43.7111488429017,0.161767605692355,88,42.7306979985502,42.7306914394193,0.177861648326156,108,33.0601938837434,33.0600863189591,0.129040605640241,87,29.5962446587664,29.5924487250033,0.0932030791163329,87,98.5510493058822,98.5486382962138,0.518453008494661,102,116.230924584279,116.230644677294,0.605692917320163,99,25.7483913014431,25.7482932512215,0.710220422278655,98,18.4439595949717,18.4439402806487,0.398571720972942,119,7.07855464159812,,
508_last_session_508_freestlye_MyTake_003_MyTake_003_resampled_120Hz_preprocessed_angles,508,Last,24.4934934558282,24.4923507841495,0.137069773574904,67,25.1746193448495,25.1744775514541,0.114268567107834,55,51.0216553421753,51.0041518600183,0.317473482359987,62,60.5899268220974,60.5864594330519,0.275334283420785,60,31.2365099654831,31.2105021828087,0.202309228910843,56,29.2894546137828,29.2880299281391,0.137423180775318,53,46.0134357018545,46.0040120783428,0.396792584968654,71,64.0625079616703,64.0597281573932,0.514116309539686,64,24.0792892385846,24.073495685818,0.647663739600902,44,20.8595733500456,20.8518212156159,0.427229614507688,66,6.95297397769517,,
615_1st_session_615_FREESTYLE_MyTake_014_MyTake_014_resampled_120Hz_preprocessed_angles,615,First,40.5583758013898,40.5583363389697,0.0935390078936163,99,26.9437353708845,26.9435329949428,0.0597820874681801,117,65.4117496747225,65.4117492278145,0.17539003512173,104,64.8271994788452,64.8271947526275,0.152572483636581,110,21.3322572694764,21.3319848975039,0.0753225399580501,105,19.1622403512079,19.1607865366257,0.0624111306916589,99,56.7433806470737,56.7430079583852,0.331390561040039,114,60.115695794609,60.1106064525571,0.408072239304321,97,17.0573074517037,17.0569550464506,0.68157221516754,110,25.9596731905565,25.9585712024687,0.597487171251946,112,6.890595684803,,
615_Last_Session_615_freestyle_MyTake_008_MyTake_008_resampled_120Hz_preprocessed_angles,615,Last,34.9642014025276,34.964186834971,0.109277416095632,81,38.4846379051887,38.4844856193099,0.0982921065030454,73,70.9177590958298,70.9174162772951,0.202463548923292,80,71.9753660071231,71.9739829114478,0.202763082347144,86,26.8237287921831,26.8234566510065,0.0942279510853469,72,23.5311720571817,23.5288054395997,0.0724677113515681,78,76.2135440834619,76.2090298249257,0.512822261752473,79,83.497807715841,83.4977921570416,0.455105716206632,72,22.8932643679371,22.8931832386112,1.00397073157864,97,24.8733478916781,24.8732620079712,0.559297630668455,103,7.20889118359208,,
631_1st_session_631_freestyle_MyTake_012_MyTake_012_resampled_120Hz_preprocessed_angles,631,First,12.2647167555826,12.2641578555947,0.0575870603543399,112,11.7615518450131,11.7611861426692,0.0422764745196965,126,53.6714681472922,53.6714198650043,0.094065933987799,132,47.6267099963022,47.6265921908174,0.0861426980891032,135,15.7139911934157,15.7097182230102,0.0650252974416284,86,19.4950649280009,19.4946231002013,0.0525725083020415,99,53.936612391973,53.9351746917383,0.656900308766768,121,69.6285791008562,69.6281786181347,0.458165342205648,133,10.0981900194568,10.0981838508041,1.32389274761485,116,7.75250728664333,7.75247460862787,0.644709883554783,117,5.02350625289486,,
631_last_session_631_freestlye_MyTake_003_MyTake_003_resampled_120Hz_preprocessed_angles,631,Last,28.558034533342,28.5580302722665,0.0872746079075439,124,26.8963092783999,26.8962997923327,0.063685398365928,128,145.219439488567,145.218947578187,0.239566049541243,105,163.854671707292,163.854648105433,0.278424797708954,128,31.0695678081836,31.069567657203,0.086691544542349,114,31.7308692969354,31.7302554030912,0.0907091701102373,108,122.552015748774,122.551488978581,0.596279016674997,117,96.2788013298914,96.2496702768202,0.617933922449562,133,25.4272911697777,25.4272824051284,0.905347963284969,125,16.0538341225424,16.053645557703,0.502620577766648,147,7.32097715119106,,
762_1st_session_762_FREE_STLYE_MyTake_013_MyTake_013_resampled_120Hz_preprocessed_angles,762,First,37.6445265798202,37.6444095701736,0.0971963160848209,122,39.0566111087575,39.0560050429557,0.121174692966259,112,143.896533229255,143.895288615466,0.297824095303038,125,125.433508966681,125.433024541452,0.323891414971281,141,39.5305434879142,39.5297665112165,0.111631466406565,109,42.595305014606,42.5937391054366,0.115120325906222,104,123.952688919695,123.944744181969,0.692562627796138,105,125.322401365055,125.30823286412,0.591659292584552,106,23.3106148542603,23.3106147257005,1.09655683567164,150,21.8603918571178,21.8603207593315,0.703462266016356,171,7.09362453725429,,
762_last_session__762_freestlye_MyTake_012_MyTake_012_resampled_120Hz_preprocessed_angles,762,Last,49.4637479824036,49.463565537297,0.125685923859651,112,57.5782365868215,57.5773012394847,0.137267064974733,109,137.959621533238,137.941465842777,0.258796554454562,125,104.201526306727,104.201526138592,0.234484303943817,137,44.5574323149397,44.554615589694,0.109350731339473,104,45.3804940746311,45.3804671512859,0.114257816739016,99,124.19566643479,124.175500864769,0.585072316220806,94,136.495518213223,136.471118548155,0.535219878576423,100,27.2724877715587,27.2554151156665,0.854164305244633,127,26.7083118459782,26.7081509436828,0.682353664502386,164,7.6072282622094,,
