Time,Head_Position_X,Head_Position_Y,Head_Position_Z,Hips_Position_X,Hips_Position_Y,Hips_Position_Z,LeftArm_Position_X,LeftArm_Position_Y,LeftArm_Position_Z,LeftFoot_Position_X,LeftFoot_Position_Y,LeftFoot_Position_Z,LeftForeArm_Position_X,LeftForeArm_Position_Y,LeftForeArm_Position_Z,LeftHand_Position_X,LeftHand_Position_Y,LeftHand_Position_Z,LeftLeg_Position_X,LeftLeg_Position_Y,LeftLeg_Position_Z,LeftShoulder_Position_X,LeftShoulder_Position_Y,LeftShoulder_Position_Z,LeftUpLeg_Position_X,LeftUpLeg_Position_Y,LeftUpLeg_Position_Z,RightArm_Position_X,RightArm_Position_Y,RightArm_Position_Z,RightFoot_Position_X,RightFoot_Position_Y,RightFoot_Position_Z,RightForeArm_Position_X,RightForeArm_Position_Y,RightForeArm_Position_Z,RightHand_Position_X,RightHand_Position_Y,RightHand_Position_Z,RightLeg_Position_X,RightLeg_Position_Y,RightLeg_Position_Z,RightShoulder_Position_X,RightShoulder_Position_Y,RightShoulder_Position_Z,RightUpLeg_Position_X,RightUpLeg_Position_Y,RightUpLeg_Position_Z,Spine1_Position_X,Spine1_Position_Y,Spine1_Position_Z,Spine3_Position_X,Spine3_Position_Y,Spine3_Position_Z
68255.51732856,4.369076413011149e-05,153.3333106164543,0.00017823298971751667,0.0,0.0,0.0,45.89744546260848,125.64102548956178,0.0002739081429197097,20.512878454817045,-220.51283022464926,-7.692311464475291,128.97418540496207,125.64102202537921,-5.127938691919007,194.74339868787843,125.64098418931879,-0.0002025284476261654,20.512801661101363,-115.38462363420429,-2.564199785069216,12.820553990654124,125.64102490878149,5.1173914008295325e-05,20.51282105088704,1.4368418211620653e-06,1.3456761715484017e-06,-45.89739447213759,125.64106827623253,2.0164344720397225e-05,-20.51292346431379,-220.51282681222992,-7.692248205398753,-128.97445182540093,125.64107974344776,-5.128166781353878,-194.7437575798025,125.64108835244666,0.0001433627075712353,-20.51288759930839,-115.38462737404785,-2.563981118263306,-12.820475515338984,125.64102517453463,7.41157972312602e-05,-20.512819644607408,1.4368418211619427e-06,1.345676171583646e-06,3.1975727839385893e-06,41.025640890147294,1.3456761716783677e-06,1.348292713940986e-05,82.05126897009337,1.1308458171433445e-05
68255.52566487913,0.5981173856751082,153.2618865070334,1.017036438807502,0.0,0.0,0.0,45.95062241259118,125.51682057806329,1.5761705769582504,31.24630514744281,-219.20384246986055,-9.090091149419337,108.19465435735543,103.44711068219864,-4.992306790271806,157.37067013488345,85.84571352007983,-0.08213886122251021,26.470403463458773,-114.79846636999768,-0.9463168752627957,12.957662521002453,125.61066845158004,0.3627668831629765,20.51280223640869,-8.249788333611117e-06,1.3803383012694799e-05,-45.721675595327646,125.98039331145678,-0.6381061123550602,-17.027665803766794,-220.16830093479896,-11.312656033545437,-107.34660353114464,104.19149454047111,-9.039641572603923,-158.93020739231906,86.8887950459543,-4.254016649001116,-18.759060808290492,-115.24311704480552,-4.3515410984875365,-12.662958500868923,125.66969010337435,-0.16264271690248405,-20.51283731520292,-8.249788333611005e-06,1.3803383012935017e-05,0.009621446903393801,41.02557890093177,1.3803383012666587e-05,0.0529286021430928,82.05115449064618,0.014926591793649259
68255.53400119825,1.1554393016016733,153.19529000529874,1.964716185659403,0.0,0.0,0.0,46.00019387076255,125.40109941811713,3.0445176016562416,41.24726528782343,-217.98378651027824,-10.392689835803049,88.8290939761102,82.77339059049721,-4.867483765650709,122.54122331527424,48.77605516885079,-0.16114770517387852,32.02155619358571,-114.2521083264798,0.5612476498436972,13.085451944056166,125.58235992708376,0.7008009022032974,20.512784605159496,-1.6056579440372088e-05,2.500249522893915e-05,-45.557904658043974,126.29662774028245,-1.2324911695453522,-13.780308009747506,-219.84718350052069,-14.686526512007793,-87.19009316422746,84.21138380566569,-12.683694962612876,-125.55257550403317,50.79004957607538,-8.21736256809849,-17.124931287937883,-115.11120452588412,-6.017506938536311,-12.516150343455513,125.6964257366516,-0.31417882902355904,-20.51285420050542,-1.605657944037172e-05,2.500249522934414e-05,0.01858217726782381,41.025525121899705,2.500249522865843e-05,0.1022346635727798,82.05105546540334,0.028832483517621955
68255.54233751737,1.637496719246844,153.13760958228553,2.784677150987207,0.0,0.0,0.0,46.043116558697314,125.30105913356411,4.314275381013142,49.89496973106485,-216.92808962839084,-11.519523882604153,72.07660315368751,64.907369007816,-4.762325895976838,92.41188775446535,16.740440408938515,-0.23446112423288096,36.82175264961611,-113.77931770703064,1.86493719289005,13.196044745476458,125.55783438437471,0.993254048870718,20.512768920781582,-2.0734502533692744e-05,3.38650997367313e-05,-45.41619081066177,126.57023738448241,-1.7459940129614524,-10.97257598763312,-219.5693247848051,-17.604954666116022,-69.75259145683668,66.9452848053476,-15.833660558736398,-96.67652329013978,19.59236523980178,-11.643404433866852,-15.71199815779735,-114.9970312743647,-7.458834560338026,-12.389108585630781,125.7195992740271,-0.44500995025504625,-20.51286875138646,-2.0734502533692043e-05,3.38650997372413e-05,0.026328717251951933,41.02548847098964,3.3865099736070316e-05,0.14487843969384345,82.05098374709077,0.04087971766565586
68255.55067383651,2.0207216335832334,153.09164342504914,3.4369401488268005,0.0,0.0,0.0,46.07731975662148,125.22162527440052,5.323281870156587,56.76526669708076,-216.08838343889875,-12.415581861439737,58.757638158624076,50.72715471501714,-4.682459083600694,68.45839863254754,-8.686695510792257,-0.2995269129946581,40.63558305583862,-113.40322273550605,2.900796464832495,13.284065614874516,125.53827771614476,1.2258483857992126,20.512755777719516,-2.176736460924861e-05,3.951263417550533e-05,-45.303438238454596,126.7878878441172,-2.153213104950982,-8.742360890517649,-219.34830750303018,-19.925211338147996,-55.88772767895247,53.24193129747249,-18.334748269825326,-73.71540693810263,-5.171207963292618,-14.363836102668309,-14.589643131485616,-114.90617037469602,-8.605114569243113,-12.28801706677304,125.73809623244208,-0.5486123351311907,-20.512879752632056,-2.1767364609247457e-05,3.951263417605225e-05,0.032480863319223,41.02547512196351,3.951263417432863e-05,0.1787750414542792,82.05094664952634,0.05048934766394428
68255.55901015563,2.29480149499966,153.05862435723355,3.904007886645291,0.0,0.0,0.0,46.1019062482647,125.16496932222063,6.044356451125752,61.67225688366016,-215.4874271194701,-13.056820188141407,49.233381130750246,40.61550009352337,-4.629767776533921,51.33036953541633,-26.81904027115099,-0.3543439537887404,43.35983379825991,-113.13403608368777,3.640743268534457,13.347168271767552,125.52421070011891,1.3923267614361887,20.512745616233055,-1.9431681217484217e-05,4.1393511607731814e-05,-45.222668999600295,126.9437520598422,-2.4429810298955035,-7.15018070072327,-219.19011231627783,-21.584737675289745,-45.971210002324945,43.47117906774856,-20.119216568203395,-57.29139882507224,-22.832175877034736,-16.305021157519064,-13.788318875224052,-114.84107903810575,-9.425473487641039,-12.215579641737664,125.75142926274819,-0.622103183011827,-20.512886466310228,-1.9431681217482493e-05,4.1393511608251825e-05,0.036872233983910305,41.025488086398695,4.139351160592576e-05,0.20301248653437384,82.0509462397316,0.057409517391026295
68255.56734647475,2.4624237305991254,153.0382469167431,4.190435755172948,0.0,0.0,0.0,46.11712482578516,125.13055743411705,6.4846351122605626,64.66382237066304,-215.1196026507086,-13.449558843894712,43.41377936517141,34.469884953452464,-4.602663577961775,40.86576744898992,-37.840342608026035,-0.3977858035276176,45.02101769548858,-112.96926987594571,4.091904720690433,13.385975613936939,125.51550189636772,1.4943008104018605,20.51273875978946,-1.4654584924007705e-05,3.9394329835426776e-05,-45.1730969657949,127.03936445580631,-2.6181095182286427,-6.1805997874048,-219.0932513329088,-22.599626825387183,-39.90923077353004,37.53378956600812,-21.204695188909344,-47.24937579583801,-33.569093925056926,-17.486150027719873,-13.300263269376195,-114.80115264185028,-9.927824263096987,-12.171087487552207,125.75972520143618,-0.6661784132069148,-20.512888666246393,-1.4654584924005326e-05,3.93943298358717e-05,0.039546295322733384,41.025527624815915,3.9394329832927744e-05,0.21782944600114107,82.05097983781567,0.061708958491254205
68255.57568279387,2.5369413971995676,153.02894076534295,4.318875166202336,0.0,0.0,0.0,46.12415970605815,125.11562992104155,6.679416407351709,65.97979317020544,-214.95594836745946,-13.62501492415398,40.837718544948984,31.790114337266036,-4.596901518059282,36.23513567065869,-42.64737003870945,-0.4297615135022798,45.752171213274735,-112.89598163656751,4.290330107859794,13.403544640629285,125.51148495062367,1.5398412646084947,20.512735444598285,-8.72060865766449e-06,3.3903479408888175e-05,-45.150810932657016,127.08229709360765,-2.6929048739741765,-5.755786034561726,-219.05009599249567,-23.05053026744407,-37.2219372838111,34.94614239244825,-21.678872710157663,-42.79507985547789,-38.25475189215567,-18.002574595570177,-13.086320540151652,-114.78326852622703,-10.15191432616983,-12.151032436813392,125.76361366051604,-0.6844807281850864,-20.512886578526988,-8.720608657661416e-06,3.390347940923357e-05,0.04071886765153712,41.02559204000891,3.390347940570445e-05,0.22440906942731162,82.05104126674571,0.06371909731099687
68255.584019113,2.538780865273669,153.0282943370072,4.323979269541137,0.0,0.0,0.0,46.124810687796575,125.11594215815558,6.6826802043192615,65.98747550234303,-214.95195760042475,-13.63089594355614,40.79709119234239,31.812623855938387,-4.606666150687098,36.16476559009694,-42.60911506228491,-0.4511651533497544,45.757086140204514,-112.89425964482125,4.291294873948105,13.40454382964048,125.51113898076352,1.541306357684517,20.512735812593824,-2.914251708984211e-06,2.5800548340018726e-05,-45.14982694982703,127.0841225125964,-2.6893309948945703,-5.756430994568976,-219.04893166195717,-23.060947969485785,-37.17257113313529,34.97008513600822,-21.6759390512751,-42.70889112296505,-38.221795605887735,-18.000186320350103,-13.086466966866842,-114.78262798746347,-10.158617466046255,-12.150051019246579,125.76405631354412,-0.6826220595593372,-20.512880756194622,-2.9142517089804457e-06,2.5800548340267446e-05,0.04072028112228684,41.02567831574514,2.5800548336242328e-05,0.224561285464356,82.0511222485098,0.06394494331692016
68255.59235543212,2.4914645728961595,153.03352553278995,4.245651532552661,0.0,0.0,0.0,46.121141496069285,125.12658716790985,6.556582253829759,65.11021225300509,-215.05624317100458,-13.522098863614291,42.474567159955996,33.65890238239339,-4.625679114154074,39.184506680089214,-39.300681979036945,-0.46365000825434644,45.270670768383255,-112.94109863530575,4.158552437422598,13.394342668269687,125.51328806783394,1.5129359004174945,20.51273986023013,1.8027287584874084e-06,1.6353346990520807e-05,-45.16325424072685,127.05815797239454,-2.632752577101192,-6.0449460326573075,-219.0762387044822,-22.773181459194976,-38.91084713026476,36.75641299557506,-21.350504591836028,-45.583183765881856,-35.00366738629537,-17.647059488519005,-13.23148158029859,-114.79369132943435,-10.018074306670224,-12.161969931503428,125.76215849436011,-0.6670983822294824,-20.51287192760393,1.8027287584918134e-06,1.635334699070179e-05,0.039931196250804275,41.025782250344065,1.6353346986327316e-05,0.22037066480813566,82.05121348944152,0.06296632503148425
