Time,Spine3_LeftShoulder_LeftArm_Angle,Spine3_LeftShoulder_LeftArm_Angle_Velocity,Spine3_RightShoulder_RightArm_Angle,Spine3_RightShoulder_RightArm_Angle_Velocity,LeftShoulder_LeftArm_LeftForeArm_Angle,LeftShoulder_LeftArm_LeftForeArm_Angle_Velocity,RightShoulder_RightArm_RightForeArm_Angle,RightShoulder_RightArm_RightForeArm_Angle_Velocity,Hips_LeftUpLeg_LeftLeg_Angle,Hips_LeftUpLeg_LeftLeg_Angle_Velocity,Hips_RightUpLeg_RightLeg_Angle,Hips_RightUpLeg_RightLeg_Angle_Velocity,LeftUpLeg_LeftLeg_LeftFoot_Angle,LeftUpLeg_LeftLeg_LeftFoot_Angle_Velocity,RightUpLeg_RightLeg_RightFoot_Angle,RightUpLeg_RightLeg_RightFoot_Angle_Velocity,Hips_Spine1_Spine3_Angle,Hips_Spine1_Spine3_Angle_Velocity,Spine1_Spine3_Head_Angle,Spine1_Spine3_Head_Angle_Velocity
79672.56509232,73.37726229644032,-11.141975633021843,73.74890776498809,15.425163918711178,23.506820579250977,2100.1621864351832,21.921922110703598,1956.3128285182747,89.05578756652523,-87.94406004856512,89.0599438517235,-81.687548262571,1.552439617729968,4.333125027927327,2.7305785766258883,111.7491848781537,0.01806108209784046,1.5293078556059072,0.4550669878210528,39.64999395594182
79672.57342951142,73.28441249949847,-10.70115825678954,73.87745079764402,14.225387178354936,41.008172132877505,1965.8690827547625,38.224529015022554,1833.0622451727888,88.32292039945385,-82.35605943047176,88.37921428286874,-76.61335943790732,1.5885489929626957,4.199416726015586,3.661821783943836,104.7632422401426,0.030805314227889687,1.4298690192060708,0.785483604120568,37.143405798959705
79672.58176670285,73.19890965882716,-9.819523504325787,73.985997551294,11.825833697642452,56.27130529183035,1697.282875393921,52.47295953025008,1586.5610784818168,87.68318657601736,-71.18005819428504,87.78305452775838,-66.46498178857996,1.6224298964968944,3.9320001221921164,4.476632613961598,90.79135696412038,0.04189223241794164,1.2309913464063988,1.0741237511370478,32.13022948499545
79672.59010389425,73.12075377442638,-8.937888751862033,74.07454802593806,9.42628021693082,69.29622005610952,1428.6966680330813,64.66721365638617,1340.059911790845,87.13658609621577,-60.00405695809832,87.27146458639241,-56.31660413925346,1.6540823283325643,3.6645835183686337,5.1750110666791755,76.81947168809813,0.051321836667996334,1.0321136736067271,1.3209874288704921,27.11705317103121
79672.59844108568,73.04994484629613,-8.056253999386342,74.14310222157619,7.026726736227715,80.08291642571504,1160.1104606722538,74.80729139343083,1093.5587450998896,86.68311896004906,-48.82805572190051,86.84444445877082,-46.16822648991416,1.683506288469705,3.3971669145453776,5.756957142096567,62.84758641207695,0.05909412697805376,0.8332360008070675,1.5260746373209013,22.103876857067206
79672.6067782771,72.9864828744366,-7.123188953725901,74.19166013820852,4.62327077196079,88.63139440064708,887.5780343346194,82.89319274138433,843.2661990462009,86.32278516751742,-37.57531218021143,86.50199414489384,-35.96185390090483,1.7107017769083206,3.141178636900186,6.222470840213791,48.801726744150606,0.06520910334811413,0.631162013017971,1.689385376488279,17.04545234181733
79672.61511546852,72.9312250304007,-6.168285417358561,74.2201567344422,2.0542843322189697,94.87588366462536,599.0073548872721,88.86172804420085,578.3506981719574,86.05686375704553,-25.620363498130132,86.24508022708908,-25.12006974302949,1.7358592657513747,2.8706674992644654,6.570319254499077,33.875895572353656,0.06961349386168661,0.4170093346449785,1.8101655096845235,11.675630676369861
79672.62345265994,72.88367811748063,-5.315130243863848,74.22589821041217,-0.5361457973000938,98.61485031543495,315.59437010338485,92.53237104425028,318.5272881174325,85.89577910921525,-13.713594084647411,86.08332631584335,-14.305028890634901,1.758546235229395,2.581839022454675,6.787069099753019,18.97362306728443,0.07215925892553043,0.2069916406528527,1.8839792210944433,6.347714070148092
79672.63178985137,72.8426395263363,-4.612997636113505,74.21122097115386,-2.7562972806813946,100.13578983301511,75.15909304734663,94.17051617949139,98.28597252606698,85.82830385563474,-3.5204814874225576,86.00666307891183,-5.025942123734239,1.7788899161256193,2.3115830862874454,6.8865463056204845,6.185249772713064,0.07306335453923415,0.02958340631799561,1.9159607441869917,1.7995033571226315
79672.64012704277,72.8067948235454,-4.057541298583089,74.17995992240081,-4.455072894465673,99.86750186622406,-109.0890445124046,94.1704705863514,-70.37986300725976,85.83710441775821,4.374615105608939,85.99956061378111,2.196650303847889,1.7970726200008524,2.0629934964255003,6.890156595964903,-3.764281886316194,0.07265231569749703,-0.10486349077461321,1.9139709437131538,-1.7095372557356647
79672.6484642342,72.77501383802658,-3.614544526467398,74.1369697562461,-5.543443313740113,98.3176390911417,-231.50665993995318,92.99751846270372,-182.48531592567986,85.90121410739489,9.692561343099442,86.04327391730929,7.118345561987667,1.8132731410660443,1.8329803818632495,6.823808274181881,-10.52953215299734,0.0713156296929906,-0.191733288835082,1.8874684565913973,-4.058907287253053
79672.65680142562,72.74655241477095,-3.2331036476699637,74.08756920050514,-5.999703284610121,96.00905753389151,-293.6576149692357,91.12904865425674,-239.694464415295,85.99864710680987,12.45556267681792,86.11819970648091,9.765318685196576,1.8276222930319066,1.6145111528094613,6.714664393414948,-14.139003454032935,0.069456760883579,-0.23203386203766996,1.846322488925603,-5.264551097548029
