feature,PC,abs_loading,family
LeftUpLeg_LeftLeg_LeftFoot_Angle_CV,PC3,0.3484493813907876,CV
LeftUpLeg_LeftLeg_LeftFoot_Angle_STD,PC3,0.04111623462231975,STD
LeftUpLeg_LeftLeg_LeftFoot_Angle_ZeroCross,PC3,0.10588062012190776,ZeroCross
RightShoulder_RightArm_RightForeArm_Angle_CV,PC3,0.3308916029619845,CV
RightShoulder_RightArm_RightForeArm_Angle_STD,PC3,0.15232487374092826,STD
RightShoulder_RightArm_RightForeArm_Angle_ZeroCross,PC3,0.03610040120699081,ZeroCross
RightUpLeg_RightLeg_RightFoot_Angle_CV,PC3,0.3965197193873112,CV
RightUpLeg_RightLeg_RightFoot_Angle_STD,PC3,0.012500346861158307,STD
RightUpLeg_RightLeg_RightFoot_Angle_ZeroCross,PC3,0.08183303168790373,ZeroCross
Spine1_Spine3_Head_Angle_CV,PC3,0.15895255202523165,CV
Spine1_Spine3_Head_Angle_STD,PC3,0.19657726923656382,STD
Spine1_Spine3_Head_Angle_ZeroCross,PC3,0.00907778368459056,ZeroCross
Spine3_LeftShoulder_LeftArm_Angle_CV,PC3,0.16845132996045425,CV
Spine3_LeftShoulder_LeftArm_Angle_STD,PC3,0.34531873284832937,STD
Spine3_LeftShoulder_LeftArm_Angle_ZeroCross,PC3,0.0620253280696537,ZeroCross
Spine3_RightShoulder_RightArm_Angle_CV,PC3,0.02267624650418319,CV
Spine3_RightShoulder_RightArm_Angle_STD,PC3,0.24532781918757998,STD
Spine3_RightShoulder_RightArm_Angle_ZeroCross,PC3,0.019504395686914484,ZeroCross
Hips_LeftUpLeg_LeftLeg_Angle_CV,PC4,0.19465557822324375,CV
Hips_LeftUpLeg_LeftLeg_Angle_STD,PC4,0.007443140377389326,STD
Hips_LeftUpLeg_LeftLeg_Angle_ZeroCross,PC4,0.16532117307390976,ZeroCross
Hips_RightUpLeg_RightLeg_Angle_CV,PC4,0.07686427164021238,CV
Hips_RightUpLeg_RightLeg_Angle_STD,PC4,0.024259412463258474,STD
Hips_RightUpLeg_RightLeg_Angle_ZeroCross,PC4,0.06277162370164448,ZeroCross
Hips_Spine1_Spine3_Angle_CV,PC4,0.4174278384147855,CV
Hips_Spine1_Spine3_Angle_STD,PC4,0.1352616959650242,STD
Hips_Spine1_Spine3_Angle_ZeroCross,PC4,0.039278244579899764,ZeroCross
LeftShoulder_LeftArm_LeftForeArm_Angle_CV,PC4,0.05428566828245621,CV
LeftShoulder_LeftArm_LeftForeArm_Angle_STD,PC4,0.06582070828040572,STD
LeftShoulder_LeftArm_LeftForeArm_Angle_ZeroCross,PC4,0.11660559910198874,ZeroCross
LeftUpLeg_LeftLeg_LeftFoot_Angle_CV,PC4,0.13297565315403334,CV
LeftUpLeg_LeftLeg_LeftFoot_Angle_STD,PC4,0.11944434576224595,STD
LeftUpLeg_LeftLeg_LeftFoot_Angle_ZeroCross,PC4,0.23261066036752132,ZeroCross
RightShoulder_RightArm_RightForeArm_Angle_CV,PC4,0.08858548216807806,CV
RightShoulder_RightArm_RightForeArm_Angle_STD,PC4,0.03651882028469266,STD
RightShoulder_RightArm_RightForeArm_Angle_ZeroCross,PC4,0.007989901201486892,ZeroCross
RightUpLeg_RightLeg_RightFoot_Angle_CV,PC4,0.14069485861612205,CV
RightUpLeg_RightLeg_RightFoot_Angle_STD,PC4,0.04803338288825817,STD
RightUpLeg_RightLeg_RightFoot_Angle_ZeroCross,PC4,0.22977093916948346,ZeroCross
Spine1_Spine3_Head_Angle_CV,PC4,0.6244791255475282,CV
Spine1_Spine3_Head_Angle_STD,PC4,0.287463050771039,STD
Spine1_Spine3_Head_Angle_ZeroCross,PC4,0.057964261563759736,ZeroCross
Spine3_LeftShoulder_LeftArm_Angle_CV,PC4,0.02296390732589188,CV
Spine3_LeftShoulder_LeftArm_Angle_STD,PC4,0.14600205866818675,STD
Spine3_LeftShoulder_LeftArm_Angle_ZeroCross,PC4,0.05448302114378198,ZeroCross
Spine3_RightShoulder_RightArm_Angle_CV,PC4,0.1157274870782226,CV
Spine3_RightShoulder_RightArm_Angle_STD,PC4,0.15343499447110265,STD
Spine3_RightShoulder_RightArm_Angle_ZeroCross,PC4,0.03754492589677415,ZeroCross
Hips_LeftUpLeg_LeftLeg_Angle_CV,PC5,0.04611934377233583,CV
Hips_LeftUpLeg_LeftLeg_Angle_STD,PC5,0.028460639475949647,STD
Hips_LeftUpLeg_LeftLeg_Angle_ZeroCross,PC5,0.04486597653924147,ZeroCross
Hips_RightUpLeg_RightLeg_Angle_CV,PC5,0.056089065545758585,CV
Hips_RightUpLeg_RightLeg_Angle_STD,PC5,0.04168670126182384,STD
Hips_RightUpLeg_RightLeg_Angle_ZeroCross,PC5,0.047869203964642185,ZeroCross
Hips_Spine1_Spine3_Angle_CV,PC5,0.0939820368677338,CV
Hips_Spine1_Spine3_Angle_STD,PC5,0.009929937818301893,STD
Hips_Spine1_Spine3_Angle_ZeroCross,PC5,0.08410962455709589,ZeroCross
LeftShoulder_LeftArm_LeftForeArm_Angle_CV,PC5,0.12528528682132312,CV
LeftShoulder_LeftArm_LeftForeArm_Angle_STD,PC5,0.28849152112701754,STD
LeftShoulder_LeftArm_LeftForeArm_Angle_ZeroCross,PC5,0.011341768451854955,ZeroCross
LeftUpLeg_LeftLeg_LeftFoot_Angle_CV,PC5,0.24152037237930382,CV
LeftUpLeg_LeftLeg_LeftFoot_Angle_STD,PC5,0.07538400964481182,STD
LeftUpLeg_LeftLeg_LeftFoot_Angle_ZeroCross,PC5,0.02319229379160944,ZeroCross
RightShoulder_RightArm_RightForeArm_Angle_CV,PC5,0.2661003473776463,CV
RightShoulder_RightArm_RightForeArm_Angle_STD,PC5,0.4490786628470941,STD
RightShoulder_RightArm_RightForeArm_Angle_ZeroCross,PC5,0.029380927164101404,ZeroCross
RightUpLeg_RightLeg_RightFoot_Angle_CV,PC5,0.2909621178651829,CV
RightUpLeg_RightLeg_RightFoot_Angle_STD,PC5,0.22818260728834322,STD
RightUpLeg_RightLeg_RightFoot_Angle_ZeroCross,PC5,0.031655481809030515,ZeroCross
Spine1_Spine3_Head_Angle_CV,PC5,0.06827463746798296,CV
Spine1_Spine3_Head_Angle_STD,PC5,0.2640299935781653,STD
Spine1_Spine3_Head_Angle_ZeroCross,PC5,0.08112963581680481,ZeroCross
Spine3_LeftShoulder_LeftArm_Angle_CV,PC5,0.12205474946687889,CV
Spine3_LeftShoulder_LeftArm_Angle_STD,PC5,0.0493967941339053,STD
Spine3_LeftShoulder_LeftArm_Angle_ZeroCross,PC5,0.06225495274241966,ZeroCross
Spine3_RightShoulder_RightArm_Angle_CV,PC5,0.4626796657339086,CV
Spine3_RightShoulder_RightArm_Angle_STD,PC5,0.17625877822335423,STD
Spine3_RightShoulder_RightArm_Angle_ZeroCross,PC5,0.22334601504981355,ZeroCross
Hips_LeftUpLeg_LeftLeg_Angle_CV,PC6,0.12847586072230613,CV
Hips_LeftUpLeg_LeftLeg_Angle_STD,PC6,0.26357009655270497,STD
Hips_LeftUpLeg_LeftLeg_Angle_ZeroCross,PC6,0.24963792063869764,ZeroCross
Hips_RightUpLeg_RightLeg_Angle_CV,PC6,0.0028865728570728185,CV
Hips_RightUpLeg_RightLeg_Angle_STD,PC6,0.22975055678063347,STD
Hips_RightUpLeg_RightLeg_Angle_ZeroCross,PC6,0.10673502384324832,ZeroCross
Hips_Spine1_Spine3_Angle_CV,PC6,0.15462261903341265,CV
Hips_Spine1_Spine3_Angle_STD,PC6,0.08691973449610328,STD
Hips_Spine1_Spine3_Angle_ZeroCross,PC6,0.012621702685083511,ZeroCross
LeftShoulder_LeftArm_LeftForeArm_Angle_CV,PC6,0.34192172372351354,CV
LeftShoulder_LeftArm_LeftForeArm_Angle_STD,PC6,0.0024062760018188295,STD
LeftShoulder_LeftArm_LeftForeArm_Angle_ZeroCross,PC6,0.004973124742839698,ZeroCross
LeftUpLeg_LeftLeg_LeftFoot_Angle_CV,PC6,0.10301336661872101,CV
LeftUpLeg_LeftLeg_LeftFoot_Angle_STD,PC6,0.24912650539934716,STD
LeftUpLeg_LeftLeg_LeftFoot_Angle_ZeroCross,PC6,0.03631026492511436,ZeroCross
RightShoulder_RightArm_RightForeArm_Angle_CV,PC6,0.15075293382413582,CV
RightShoulder_RightArm_RightForeArm_Angle_STD,PC6,0.0007549787878943384,STD
RightShoulder_RightArm_RightForeArm_Angle_ZeroCross,PC6,0.06847925413275789,ZeroCross
RightUpLeg_RightLeg_RightFoot_Angle_CV,PC6,0.2488694144654772,CV
RightUpLeg_RightLeg_RightFoot_Angle_STD,PC6,0.4614898468097079,STD
