Participant,MDI_Euclid_kD,MDI_VarWeighted_kD,Delta_PC1,Delta_PC2,Delta_PC3
101,4.718593763994512,2.04243419362205,0.8218056383612717,1.7765447976712103,-4.293442812502907
508,6.879738380865996,4.456171702003367,-4.992942385747979,4.4953341834856335,1.4809784267664103
615,4.403248446335025,2.466726692535942,-1.155535719598241,3.4419105696144934,2.4913020113307067
631,7.712036846034697,4.980909018583522,4.904044705823856,5.886855146980021,0.8779489258223612
762,3.3801572948788836,1.643565998676802,-0.6089395617191169,1.9744205866821147,-2.6751297716526046
863,3.273684511275327,2.0926870062366847,1.7584884985607114,2.7476471657489427,-0.27415968402643087
892,6.380527099551896,3.9563802152892547,1.5251411547022964,6.114058606752815,-1.0016775327126477
