Participant,Delta_PC1,Delta_PC2,Delta_Euclid_PC1_2
101,0.8218056383612717,1.7765447976712103,1.9574156240755358
508,-4.992942385747979,4.4953341834856335,6.718444990368915
615,-1.155535719598241,3.4419105696144934,3.630703949441677
631,4.904044705823856,5.886855146980021,7.6619004168838005
762,-0.6089395617191169,1.9744205866821147,2.0661907082698865
863,1.7584884985607114,2.7476471657489427,3.2621843520896396
892,1.5251411547022964,6.114058606752815,6.301410015907141
